gdp,gni,date,series,gdp_capita,gni_capita
73709.68233609923,76983.20505838929,1970-01-01,abs,6773.389525686014,7074.203831370364
10.0,8.8,1971-01-01,growth_yoy,7.3,6.1
81106.19877307191,83746.67283361536,1971-01-01,abs,7265.659785602477,7503.9451856124915
88720.80962899492,91918.36996966561,1972-01-01,abs,7751.698776406075,8032.8576216028
9.4,9.8,1972-01-01,growth_yoy,6.7,7.0
11.7,10.5,1973-01-01,growth_yoy,9.1,7.9
99102.10397103071,101584.2447373885,1973-01-01,abs,8455.832186160003,8667.55254479117
8.3,7.7,1974-01-01,growth_yoy,5.7,5.2
107346.07300735323,109385.70316824556,1974-01-01,abs,8941.871176963596,9117.128115382931
108205.98814492882,111851.75740105036,1975-01-01,abs,8798.551987367666,9090.682493583417
0.8,2.3,1975-01-01,growth_yoy,-1.6,-0.3
120718.376523565,123838.23548168069,1976-01-01,abs,9589.923164701726,9837.771309419724
11.6,10.7,1976-01-01,growth_yoy,9.0,8.2
7.8,7.6,1977-01-01,growth_yoy,5.1,5.0
130077.74273109065,133193.37419325925,1977-01-01,abs,10082.193424618186,10327.015312710759
6.7,5.9,1978-01-01,growth_yoy,4.2,3.5
138732.9755288624,141107.22651676426,1978-01-01,abs,10509.519077438501,10688.523403593954
9.3,9.1,1979-01-01,growth_yoy,6.8,6.6
151703.2600488231,154006.7651592629,1979-01-01,abs,11223.580478170388,11394.332501022083
7.4,8.8,1980-01-01,growth_yoy,4.6,5.9
162992.75388706103,167483.42947258678,1980-01-01,abs,11743.563652036682,12068.945616243449
6.9,7.5,1981-01-01,growth_yoy,4.1,4.7
174307.88069865856,180059.3097996902,1981-01-01,abs,12226.928292532108,12630.473295965274
5.9,4.6,1982-01-01,growth_yoy,3.1,1.8
184667.2637892765,188322.3455867079,1982-01-01,abs,12604.099186252028,12852.744669188498
6.3,3.9,1983-01-01,growth_yoy,3.5,1.1
196213.08736111055,195591.00944088493,1983-01-01,abs,13039.859733365336,12997.026086894803
211442.73539005365,208673.8244788483,1984-01-01,abs,13684.34592069257,13507.86029553063
7.8,6.7,1984-01-01,growth_yoy,4.9,3.9
209274.91821449838,205565.92475149903,1985-01-01,abs,13175.348306837535,12942.433118032952
-1.0,-1.5,1985-01-01,growth_yoy,-3.7,-4.2
1.2,2.9,1986-01-01,growth_yoy,-1.5,0.1
211871.17223049278,211610.1463040604,1986-01-01,abs,12973.946373297773,12958.031109136344
222871.37965510087,222910.89085846214,1987-01-01,abs,13286.800878741538,13289.008617481903
5.2,5.3,1987-01-01,growth_yoy,2.4,2.6
245019.71260522486,248173.77367216753,1988-01-01,abs,14229.575537700652,14413.756095796436
9.9,11.3,1988-01-01,growth_yoy,7.1,8.5
9.1,8.7,1989-01-01,growth_yoy,6.3,6.0
267217.5206103379,269737.291732979,1989-01-01,abs,15128.372370002775,15271.96185398956
9.0,10.4,1990-01-01,growth_yoy,6.4,7.7
291289.88347670506,297756.3916745333,1990-01-01,abs,16090.387328124323,16449.43187035009
319094.86438058363,323490.84830076125,1991-01-01,abs,17203.576065379246,17442.37300354964
9.5,8.6,1991-01-01,growth_yoy,6.9,6.0
8.9,7.0,1992-01-01,growth_yoy,5.9,4.1
347446.8195035085,346281.62988608785,1992-01-01,abs,18223.311920988082,18159.985326953447
9.9,10.1,1993-01-01,growth_yoy,6.9,7.1
381826.4854926065,381119.511414924,1993-01-01,abs,19479.428594878216,19442.900419405967
9.2,9.0,1994-01-01,growth_yoy,6.3,6.1
417000.50097569614,415600.051297004,1994-01-01,abs,20702.561898775606,20632.08655533227
9.8,9.4,1995-01-01,growth_yoy,7.0,6.5
457987.83542000595,454597.1552716908,1995-01-01,abs,22145.584335957916,21979.44030539656
503798.98772575386,498239.70065420796,1996-01-01,abs,23737.031938107557,23476.174579924496
10.0,9.6,1996-01-01,growth_yoy,7.2,6.8
540690.887062632,533956.2911504774,1997-01-01,abs,24836.477604532178,24527.69631095293
7.3,7.2,1997-01-01,growth_yoy,4.6,4.5
500899.19978055893,506098.28785295255,1998-01-01,abs,22428.69159506226,22661.904270103038
-7.4,-5.2,1998-01-01,growth_yoy,-9.7,-7.6
531642.4492279574,526622.0003023014,1999-01-01,abs,23206.549404057678,22987.026588053337
6.1,4.1,1999-01-01,growth_yoy,3.5,1.4
578739.9529634219,560285.3408446684,2000-01-01,abs,24632.10357575357,23847.35311407251
8.9,6.4,2000-01-01,growth_yoy,6.1,3.7
0.5,1.3,2001-01-01,growth_yoy,-1.7,-1.0
581735.9468389092,567552.9752537782,2001-01-01,abs,24208.28005190416,23618.100992881195
613097.2637588464,601651.662025898,2002-01-01,abs,24981.230233330665,24514.579436942742
5.4,6.0,2002-01-01,growth_yoy,3.2,3.8
648586.3944627884,644658.6756266983,2003-01-01,abs,25903.5741473018,25746.381879164728
5.8,7.1,2003-01-01,growth_yoy,3.7,5.0
692582.8486971786,689190.0447497483,2004-01-01,abs,27116.586301767344,26983.31683156264
6.8,6.9,2004-01-01,growth_yoy,4.7,4.8
5.3,5.3,2005-01-01,growth_yoy,3.3,3.3
