date,type,value,series
2017-01-01,e6,2.4,growth_qoq
2017-04-01,e1,0.9,growth_qoq
2017-04-01,e2,5.4,growth_qoq
2017-04-01,e3,4.0,growth_qoq
2017-04-01,e5,-0.1,growth_qoq
2017-04-01,e5,9.3,growth_yoy
2017-04-01,e6,9.6,growth_yoy
2017-04-01,e1,7.0,growth_yoy
2017-04-01,e0,5.7,growth_yoy
2017-04-01,e6,-2.0,growth_qoq
2017-04-01,e0,2.4,growth_qoq
2017-04-01,e2,3.5,growth_yoy
2017-04-01,e3,3.9,growth_yoy
2017-04-01,e0,318231.0,abs
2017-04-01,e1,174884.0,abs
2017-04-01,e2,38211.0,abs
2017-04-01,e4,-1283.0,abs
2017-04-01,e3,85477.0,abs
2017-04-01,e5,218491.0,abs
2017-04-01,e6,197549.0,abs
2017-07-01,e5,5.8,growth_qoq
2017-07-01,e3,-2.9,growth_qoq
2017-07-01,e2,0.1,growth_qoq
2017-07-01,e1,7.1,growth_qoq
2017-07-01,e0,3.9,growth_qoq
2017-07-01,e0,330664.0,abs
2017-07-01,e2,38257.0,abs
2017-07-01,e1,7.1,growth_yoy
2017-07-01,e3,83028.0,abs
2017-07-01,e4,-2914.0,abs
2017-07-01,e5,231256.0,abs
2017-07-01,e6,206192.0,abs
2017-07-01,e6,12.2,growth_yoy
2017-07-01,e5,10.6,growth_yoy
2017-07-01,e3,6.6,growth_yoy
2017-07-01,e2,4.2,growth_yoy
2017-07-01,e1,187229.0,abs
2017-07-01,e6,4.4,growth_qoq
2017-07-01,e0,6.1,growth_yoy
2017-10-01,e1,6.9,growth_yoy
2017-10-01,e2,51737.0,abs
2017-10-01,e3,80405.0,abs
2017-10-01,e4,3244.0,abs
2017-10-01,e5,231634.0,abs
2017-10-01,e6,209148.0,abs
2017-10-01,e6,6.2,growth_yoy
2017-10-01,e5,5.1,growth_yoy
2017-10-01,e3,4.4,growth_yoy
2017-10-01,e0,341129.0,abs
2017-10-01,e2,7.0,growth_yoy
2017-10-01,e1,183258.0,abs
2017-10-01,e0,3.2,growth_qoq
2017-10-01,e1,-2.1,growth_qoq
2017-10-01,e2,35.2,growth_qoq
2017-10-01,e3,-3.2,growth_qoq
2017-10-01,e5,0.2,growth_qoq
2017-10-01,e6,1.4,growth_qoq
2017-10-01,e0,5.8,growth_yoy
2018-01-01,e5,223747.0,abs
2018-01-01,e6,197630.0,abs
2018-01-01,e2,36399.0,abs
2018-01-01,e1,184720.0,abs
2018-01-01,e0,327096.0,abs
2018-01-01,e4,-2505.0,abs
2018-01-01,e1,0.8,growth_qoq
2018-01-01,e3,82365.0,abs
2018-01-01,e2,-29.6,growth_qoq
2018-01-01,e0,-4.1,growth_qoq
2018-01-01,e3,2.4,growth_qoq
2018-01-01,e5,-3.4,growth_qoq
2018-01-01,e0,5.3,growth_yoy
2018-01-01,e6,-5.5,growth_qoq
2018-01-01,e2,0.4,growth_yoy
2018-01-01,e3,0.2,growth_yoy
2018-01-01,e5,2.3,growth_yoy
2018-01-01,e6,-2.0,growth_yoy
2018-01-01,e1,6.6,growth_yoy
2018-04-01,e6,204803.0,abs
2018-04-01,e1,8.0,growth_yoy
2018-04-01,e2,3.2,growth_yoy
2018-04-01,e3,1.7,growth_yoy
2018-04-01,e5,2.0,growth_yoy
2018-04-01,e6,3.7,growth_yoy
2018-04-01,e0,4.8,growth_yoy
2018-04-01,e5,-0.4,growth_qoq
2018-04-01,e4,172.0,abs
2018-04-01,e5,222888.0,abs
2018-04-01,e3,5.5,growth_qoq
2018-04-01,e2,8.4,growth_qoq
2018-04-01,e1,2.2,growth_qoq
2018-04-01,e0,1.9,growth_qoq
2018-04-01,e6,3.6,growth_qoq
2018-04-01,e3,86934.0,abs
2018-04-01,e2,39451.0,abs
2018-04-01,e1,188796.0,abs
2018-04-01,e0,333438.0,abs
2018-07-01,e2,2.1,growth_qoq
2018-07-01,e1,8.9,growth_yoy
2018-07-01,e2,5.2,growth_yoy
2018-07-01,e6,3.0,growth_qoq
2018-07-01,e5,4.3,growth_qoq
2018-07-01,e3,-1.8,growth_qoq
2018-07-01,e3,2.8,growth_yoy
2018-07-01,e1,8.0,growth_qoq
2018-07-01,e0,3.7,growth_qoq
2018-07-01,e0,345685.0,abs
2018-07-01,e1,203884.0,abs
2018-07-01,e2,40265.0,abs
2018-07-01,e3,85388.0,abs
2018-07-01,e4,-5223.0,abs
2018-07-01,e5,232375.0,abs
2018-07-01,e6,211003.0,abs
2018-07-01,e5,0.5,growth_yoy
2018-07-01,e6,2.3,growth_yoy
2018-07-01,e0,4.5,growth_yoy
2018-10-01,e0,4.8,growth_yoy
2018-10-01,e1,8.4,growth_yoy
2018-10-01,e6,2.0,growth_yoy
2018-10-01,e5,2.9,growth_yoy
2018-10-01,e6,1.1,growth_qoq
2018-10-01,e6,213258.0,abs
2018-10-01,e3,-5.3,growth_qoq
2018-10-01,e2,33.9,growth_qoq
2018-10-01,e1,-2.6,growth_qoq
2018-10-01,e0,3.4,growth_qoq
2018-10-01,e3,0.6,growth_yoy
2018-10-01,e0,357547.0,abs
2018-10-01,e1,198654.0,abs
2018-10-01,e2,53915.0,abs
2018-10-01,e3,80905.0,abs
2018-10-01,e4,-1121.0,abs
2018-10-01,e5,238452.0,abs
2018-10-01,e5,2.6,growth_qoq
2018-10-01,e2,4.2,growth_yoy
2019-01-01,e3,-1.7,growth_qoq
2019-01-01,e1,7.7,growth_yoy
2019-01-01,e4,-4670.0,abs
2019-01-01,e3,79544.0,abs
2019-01-01,e2,38559.0,abs
2019-01-01,e1,199022.0,abs
2019-01-01,e0,342373.0,abs
2019-01-01,e5,-5.9,growth_qoq
2019-01-01,e0,4.7,growth_yoy
2019-01-01,e5,224409.0,abs
2019-01-01,e6,194491.0,abs
2019-01-01,e2,5.9,growth_yoy
2019-01-01,e3,-3.4,growth_yoy
2019-01-01,e5,0.3,growth_yoy
2019-01-01,e6,-8.8,growth_qoq
2019-01-01,e6,-1.6,growth_yoy
2019-01-01,e2,-28.5,growth_qoq
2019-01-01,e0,-4.2,growth_qoq
2019-01-01,e1,0.2,growth_qoq
2019-04-01,e1,2.3,growth_qoq
2019-04-01,e1,203545.0,abs
2019-04-01,e2,39461.0,abs
2019-04-01,e3,86419.0,abs
2019-04-01,e5,224133.0,abs
2019-04-01,e6,200173.0,abs
2019-04-01,e5,-0.1,growth_qoq
2019-04-01,e3,8.6,growth_qoq
2019-04-01,e2,2.3,growth_qoq
2019-04-01,e0,2.2,growth_qoq
2019-04-01,e6,2.9,growth_qoq
2019-04-01,e4,-3475.0,abs
2019-04-01,e3,-0.6,growth_yoy
2019-04-01,e0,4.9,growth_yoy
2019-04-01,e1,7.8,growth_yoy
2019-04-01,e2,0.0,growth_yoy
2019-04-01,e0,349910.0,abs
2019-04-01,e6,-2.3,growth_yoy
2019-04-01,e5,0.6,growth_yoy
2019-07-01,e0,3.2,growth_qoq
2019-07-01,e1,7.3,growth_qoq
2019-07-01,e2,2.4,growth_qoq
2019-07-01,e3,-4.9,growth_qoq
2019-07-01,e5,2.0,growth_qoq
2019-07-01,e6,1.9,growth_qoq
2019-07-01,e1,7.1,growth_yoy
2019-07-01,e0,4.5,growth_yoy
2019-07-01,e2,0.4,growth_yoy
2019-07-01,e6,204005.0,abs
2019-07-01,e5,228652.0,abs
2019-07-01,e4,-4470.0,abs
2019-07-01,e3,82219.0,abs
2019-07-01,e2,40413.0,abs
2019-07-01,e1,218309.0,abs
2019-07-01,e0,361117.0,abs
2019-07-01,e5,-1.6,growth_yoy
2019-07-01,e6,-3.3,growth_yoy
2019-07-01,e3,-3.7,growth_yoy
2019-10-01,e3,-0.7,growth_yoy
2019-10-01,e0,2.6,growth_qoq
2019-10-01,e2,34.2,growth_qoq
2019-10-01,e3,-2.3,growth_qoq
2019-10-01,e5,0.9,growth_qoq
2019-10-01,e6,2.1,growth_qoq
2019-10-01,e0,3.6,growth_yoy
2019-10-01,e1,8.1,growth_yoy
2019-10-01,e2,0.6,growth_yoy
2019-10-01,e1,-1.6,growth_qoq
2019-10-01,e6,-2.3,growth_yoy
2019-10-01,e5,-3.3,growth_yoy
2019-10-01,e5,230684.0,abs
2019-10-01,e0,370552.0,abs
2019-10-01,e1,214839.0,abs
2019-10-01,e2,54226.0,abs
2019-10-01,e3,80354.0,abs
2019-10-01,e4,-1267.0,abs
2019-10-01,e6,208283.0,abs
2020-01-01,e4,-3317.0,abs
2020-01-01,e3,76020.0,abs
2020-01-01,e2,40624.0,abs
2020-01-01,e1,213285.0,abs
2020-01-01,e0,344690.0,abs
2020-01-01,e1,7.2,growth_yoy
2020-01-01,e3,-4.4,growth_yoy
2020-01-01,e5,-7.0,growth_yoy
2020-01-01,e2,5.4,growth_yoy
2020-01-01,e5,208782.0,abs
2020-01-01,e0,-7.0,growth_qoq
2020-01-01,e1,-0.7,growth_qoq
2020-01-01,e2,-25.1,growth_qoq
2020-01-01,e3,-5.4,growth_qoq
2020-01-01,e5,-9.5,growth_qoq
2020-01-01,e6,-8.4,growth_qoq
2020-01-01,e6,-1.9,growth_yoy
2020-01-01,e6,190703.0,abs
2020-01-01,e0,0.7,growth_yoy
2020-04-01,e3,-19.3,growth_qoq
2020-04-01,e0,-15.7,growth_qoq
2020-04-01,e1,-21.9,growth_qoq
2020-04-01,e2,-2.3,growth_qoq
2020-04-01,e0,-16.9,growth_yoy
2020-04-01,e5,-15.7,growth_qoq
2020-04-01,e6,-14.5,growth_qoq
2020-04-01,e6,-18.5,growth_yoy
2020-04-01,e5,-21.5,growth_yoy
2020-04-01,e3,-29.0,growth_yoy
2020-04-01,e1,166551.0,abs
2020-04-01,e2,39709.0,abs
2020-04-01,e3,61358.0,abs
2020-04-01,e4,10222.0,abs
2020-04-01,e5,175905.0,abs
2020-04-01,e6,163061.0,abs
2020-04-01,e2,0.6,growth_yoy
2020-04-01,e1,-18.2,growth_yoy
2020-04-01,e0,290686.0,abs
2020-07-01,e3,72873.0,abs
2020-07-01,e0,-2.5,growth_yoy
2020-07-01,e2,7.9,growth_yoy
2020-07-01,e2,43587.0,abs
