date,value,sector,series
2017-01-01,4348.0,p6,abs
2017-01-01,310744.0,p0,abs
2017-01-01,1.6,p6,growth_qoq
2017-01-01,4.7,p4,growth_qoq
2017-01-01,22608.0,p1,abs
2017-01-01,6.6,p1,growth_yoy
2017-01-01,-3.6,p0,growth_qoq
2017-01-01,-4.8,p1,growth_qoq
2017-01-01,8.5,p6,growth_yoy
2017-01-01,5.6,p0,growth_yoy
2017-01-01,6.8,p4,growth_yoy
2017-01-01,5.9,p3,growth_yoy
2017-01-01,1.0,p2,growth_yoy
2017-01-01,5.9,p5,growth_yoy
2017-04-01,72242.0,p3,abs
2017-04-01,15253.0,p4,abs
2017-04-01,-3.7,p4,growth_qoq
2017-04-01,4312.0,p6,abs
2017-04-01,318231.0,p0,abs
2017-04-01,23644.0,p1,abs
2017-04-01,-0.8,p6,growth_qoq
2017-04-01,2.6,p5,growth_qoq
2017-04-01,176593.0,p5,abs
2017-04-01,4.7,p3,growth_qoq
2017-04-01,4.6,p1,growth_qoq
2017-04-01,5.7,p0,growth_yoy
2017-04-01,4.5,p1,growth_yoy
2017-04-01,-0.5,p2,growth_yoy
2017-04-01,6.0,p3,growth_yoy
2017-04-01,8.3,p4,growth_yoy
2017-04-01,-2.5,p2,growth_qoq
2017-04-01,6.4,p5,growth_yoy
2017-04-01,12.1,p6,growth_yoy
2017-04-01,2.4,p0,growth_qoq
2017-04-01,26187.0,p2,abs
2017-07-01,1.7,p3,growth_qoq
2017-07-01,3.9,p5,growth_qoq
2017-07-01,4.6,p6,growth_qoq
2017-07-01,-2.6,p2,growth_qoq
2017-07-01,15.3,p1,growth_qoq
2017-07-01,3.9,p0,growth_qoq
2017-07-01,7.7,p4,growth_qoq
2017-07-01,3.3,p1,growth_yoy
2017-07-01,330664.0,p0,abs
2017-07-01,2.3,p2,growth_yoy
2017-07-01,7.0,p3,growth_yoy
2017-07-01,6.2,p4,growth_yoy
2017-07-01,6.6,p5,growth_yoy
2017-07-01,16.7,p6,growth_yoy
2017-07-01,27266.0,p1,abs
2017-07-01,25500.0,p2,abs
2017-07-01,73442.0,p3,abs
2017-07-01,4509.0,p6,abs
2017-07-01,183517.0,p5,abs
2017-07-01,6.1,p0,growth_yoy
2017-07-01,16431.0,p4,abs
2017-10-01,-4.7,p1,growth_qoq
2017-10-01,3.2,p0,growth_qoq
2017-10-01,4.2,p5,growth_qoq
2017-10-01,4908.0,p6,abs
2017-10-01,191161.0,p5,abs
2017-10-01,16006.0,p4,abs
2017-10-01,75758.0,p3,abs
2017-10-01,7.1,p2,growth_qoq
2017-10-01,341129.0,p0,abs
2017-10-01,25990.0,p1,abs
2017-10-01,-2.6,p4,growth_qoq
2017-10-01,5.8,p0,growth_yoy
2017-10-01,9.4,p1,growth_yoy
2017-10-01,-0.9,p2,growth_yoy
2017-10-01,5.3,p3,growth_yoy
2017-10-01,5.9,p4,growth_yoy
2017-10-01,6.3,p5,growth_yoy
2017-10-01,3.2,p3,growth_qoq
2017-10-01,14.7,p6,growth_yoy
2017-10-01,8.8,p6,growth_qoq
2017-10-01,27305.0,p2,abs
2018-01-01,-4.1,p3,growth_qoq
2018-01-01,3.7,p4,growth_qoq
2018-01-01,-4.1,p5,growth_qoq
2018-01-01,1.8,p6,growth_qoq
2018-01-01,-4.1,p2,growth_qoq
2018-01-01,-10.4,p1,growth_qoq
2018-01-01,72643.0,p3,abs
2018-01-01,23298.0,p1,abs
2018-01-01,5.3,p0,growth_yoy
2018-01-01,3.1,p1,growth_yoy
2018-01-01,-2.4,p2,growth_yoy
2018-01-01,5.2,p3,growth_yoy
