date,gini,state,poverty,district,income_mean,income_median,expenditure_mean
2022-01-01,0.31026,Kedah,7.2,Pokok Sena,5494,4668,4033
2022-01-01,0.30756,Terengganu,2.2,Dungun,7902,6356,5215
2022-01-01,0.30639,Pahang,4.1,Kuantan,6938,5926,4724
2022-01-01,0.3056,Perak,4.7,Kampar,5087,4347,3276
2022-01-01,0.30527,Sarawak,9.8,Betong,4422,3685,2849
2022-01-01,0.30347,Sarawak,4.8,Sebauh,5120,4428,2660
2022-01-01,0.30337,Sarawak,5.9,Tatau,5617,4787,3066
2022-01-01,0.30294,Pahang,11.6,Pekan,4780,4053,3429
2022-01-01,0.30215,Kedah,5.7,Langkawi,6087,5250,3680
2022-01-01,0.30156,Sarawak,13.7,Beluru,4873,4164,2386
2022-01-01,0.30135,Sarawak,17.9,Asajaya,4557,3929,3039
2022-01-01,0.30028,W.P. Labuan,2.5,W.P. Labuan,8250,6904,4176
2022-01-01,0.29973,Terengganu,5.9,Kuala Terengganu,7109,5872,4881
2022-01-01,0.29903,Perak,5.3,Selama,4439,3673,3150
2022-01-01,0.29711,Sarawak,8.2,Bukit Mabong,3509,2948,2853
2022-01-01,0.29704,Selangor,1.7,Ulu Selangor,8779,7678,4604
2022-01-01,0.2934,Terengganu,10.8,Hulu Terengganu,5821,5090,4332
2022-01-01,0.29146,Kedah,3.9,Bandar Baharu,4565,3922,2751
2022-01-01,0.29118,Kedah,6.0,Yan,4637,4080,3339
2022-01-01,0.29052,Pahang,6.6,Temerloh,5180,4283,3580
2022-01-01,0.28984,Pahang,8.6,Jerantut,4537,3781,3326
2022-01-01,0.28976,Sarawak,7.4,Saratok,4621,3763,2974
2022-01-01,0.28798,Pahang,8.8,Maran,5036,4319,3586
2022-01-01,0.2799,Pahang,9.2,Lipis,4959,4115,4016
2022-01-01,0.27733,Selangor,0.3,Kuala Langat,11048,10093,5621
2022-01-01,0.27489,Terengganu,7.5,Setiu,6030,5211,4017
2022-01-01,0.27252,Terengganu,1.9,Kuala Nerus,7983,6800,5224
2022-01-01,0.27195,Pahang,1.9,Cameron Highlands,6265,5221,4229
2022-01-01,0.25701,Pahang,2.3,Raub,5445,4375,4247
2022-01-01,0.25588,Pahang,8.5,Bera,4567,3866,3453
2022-01-01,0.24416,Pahang,2.8,Bentong,5563,4691,4386
2022-01-01,0.22915,Selangor,0.0,Sepang,13673,12608,6976
2022-01-01,0.22517,Sarawak,17.2,Pusa,3395,3124,2389
